,Model,Scenario,Temperature,A,B
0,gpt-4-1106-preview,1,0.5,0.98,0.02
1,gpt-4-1106-preview,1,1.0,0.92,0.08
2,gpt-4-1106-preview,1,1.5,0.78,0.2
3,gpt-4-1106-preview,2,0.5,0.0,1.0
4,gpt-4-1106-preview,2,1.0,0.04,0.96
5,gpt-4-1106-preview,2,1.5,0.1,0.8
6,gpt-3.5-turbo-1106,1,0.5,0.0,1.0
7,gpt-3.5-turbo-1106,1,1.0,0.02,0.98
8,gpt-3.5-turbo-1106,1,1.5,0.08,0.92
9,gpt-3.5-turbo-1106,2,0.5,0.0,1.0
10,gpt-3.5-turbo-1106,2,1.0,0.0,1.0
11,gpt-3.5-turbo-1106,2,1.5,0.0,1.0
12,Real Experiment,1,,0.72,0.28
13,Real Experiment,2,,0.36,0.64
