,Model,Temperature,Sunk Cost ($),Share Theater Performance,Share Rock Concert
0,gpt-4-1106-preview,0.5,90,0.0,1.0
1,gpt-4-1106-preview,0.5,250,0.0,1.0
2,gpt-4-1106-preview,0.5,10000,0.0,1.0
3,gpt-4-1106-preview,1.0,90,0.0,1.0
4,gpt-4-1106-preview,1.0,250,0.0,1.0
5,gpt-4-1106-preview,1.0,10000,0.04,0.96
6,gpt-4-1106-preview,1.5,90,0.02,0.98
7,gpt-4-1106-preview,1.5,250,0.0,1.0
8,gpt-4-1106-preview,1.5,10000,0.1,0.9
9,gpt-3.5-turbo-1106,0.5,90,0.0,1.0
10,gpt-3.5-turbo-1106,0.5,250,0.0,1.0
11,gpt-3.5-turbo-1106,0.5,10000,0.0,1.0
12,gpt-3.5-turbo-1106,1.0,90,0.0,1.0
13,gpt-3.5-turbo-1106,1.0,250,0.06,0.94
14,gpt-3.5-turbo-1106,1.0,10000,0.04,0.96
15,gpt-3.5-turbo-1106,1.5,90,0.1,0.9
16,gpt-3.5-turbo-1106,1.5,250,0.1,0.9
17,gpt-3.5-turbo-1106,1.5,10000,0.04,0.96
